#Step:       Beta:       E_tot:       Err:
406             29.2898           -0.353449          0.00571867
407             29.5856            -0.33535          0.00761372
408             29.8845           -0.419926          0.00351008
409             30.1864           -0.436486          0.00264266
410             30.4913           -0.421999          0.00533836
411             30.7993           -0.422908          0.00349121
412             31.1104           -0.415599          0.00316479
413             31.4246           -0.352391          0.00336175
414              31.742           -0.434461          0.00327007
415             32.0627           -0.388701          0.00420502
416             32.3865           -0.439073          0.00259501
417             32.7137            -0.41815          0.00320517
418             33.0441           -0.377564          0.00612937
419             33.3779           -0.425931          0.00210675
420              33.715           -0.381495          0.00354953
421             34.0556            -0.43665          0.00217339
422             34.3996           -0.375687          0.00628102
423              34.747            -0.43671          0.00231921
424              35.098           -0.430298          0.00307505
425             35.4526           -0.438553          0.00249622
426             35.8107           -0.358173          0.00275545
427             36.1724           -0.425033           0.0033491
428             36.5378           -0.355008          0.00457095
429             36.9068           -0.425574          0.00429626
430             37.2796           -0.423848          0.00458675
431             37.6562           -0.394393          0.00370627
432             38.0366           -0.381702          0.00446657
433             38.4208            -0.39535          0.00339944
434             38.8088            -0.43294          0.00380608
435             39.2009           -0.404042           0.0045244
436             39.5968           -0.438783          0.00284408
437             39.9968           -0.418229          0.00246872
438             40.4008           -0.414428          0.00266002
439             40.8089           -0.355791          0.00770259
440             41.2211           -0.416272          0.00335837
441             41.6375           -0.431719          0.00253915
442             42.0581           -0.407249          0.00270352
443             42.4829           -0.444274          0.00243818
444              42.912           -0.412558          0.00290535
445             43.3455           -0.437101          0.00267746
446             43.7833           -0.434626          0.00323591
447             44.2255           -0.426478          0.00281841
448             44.6723           -0.396443          0.00410722
449             45.1235           -0.405179           0.0026663
450             45.5793           -0.427212          0.00254352
451             46.0397           -0.423225          0.00274223
452             46.5047           -0.444542          0.00243081
453             46.9745           -0.421372          0.00467716
454              47.449           -0.436815          0.00315914
455             47.9283           -0.423398          0.00307866
456             48.4124           -0.415545          0.00329903
457             48.9014           -0.420214          0.00336072
458             49.3954           -0.411827          0.00249534
